Country_code,Country_name,GOR_code,GOR_name,Old_LA_Code,New_LA_Code,LA_Name,ELG_1_Emerge,ELG_1_Expect,ELG_1_Exceed,ELG_1_ At least,ELG_2_Emerge,ELG_2_Expect,ELG_2_Exceed,ELG_2_ At least,ELG_3_Emerge,ELG_3_Expect,ELG_3_Exceed,ELG_3_ At least,ELG_4_Emerge,ELG_4_Expect,ELG_4_Exceed,ELG_4_ At least,ELG_5_Emerge,ELG_5_Expect,ELG_5_Exceed,ELG_5_ At least,ELG_6_Emerge,ELG_6_Expect,ELG_6_Exceed,ELG_6_ At least,ELG_7_Emerge,ELG_7_Expect,ELG_7_Exceed,ELG_7_ At least,ELG_8_Emerge,ELG_8_Expect,ELG_8_Exceed,ELG_8_ At least,ELG_9_Emerge,ELG_9_Expect,ELG_9_Exceed,ELG_9_ At least,ELG_10_Emerge,ELG_10_Expect,ELG_10_Exceed,ELG_10_ At least,ELG_11_Emerge,ELG_11_Expect,ELG_11_Exceed,ELG_11_ At least,ELG_12_Emerge,ELG_12_Expect,ELG_12_Exceed,ELG_12_ At least,ELG_13_Emerge,ELG_13_Expect,ELG_13_Exceed,ELG_13_ At least,ELG_14_Emerge,ELG_14_Expect,ELG_14_Exceed,ELG_14_ At least,ELG_15_Emerge,ELG_15_Expect,ELG_15_Exceed,ELG_15_ At least,ELG_16_Emerge,ELG_16_Expect,ELG_16_Exceed,ELG_16_ At least,ELG_17_Emerge,ELG_17_Expect,ELG_17_Exceed,ELG_17_ At least
E92000001,England,E12000001,North East,841,E06000005,Darlington,216,775,317,1092,204,794,310,1104,203,827,278,1105,171,869,268,1137,153,913,242,1155,180,864,264,1128,179,906,223,1129,154,931,223,1154,299,738,271,1009,340,770,198,968,297,802,209,1011,279,826,203,1029,209,878,221,1099,211,866,231,1097,121,998,189,1187,188,906,214,1120,193,902,213,1115
E92000001,England,E12000001,North East,929,E06000057,Northumberland,397,2154,932,3086,387,2134,962,3096,407,2251,825,3076,297,2405,781,3186,228,2372,883,3255,288,2403,792,3195,345,2416,722,3138,276,2466,741,3207,682,1989,812,2801,781,2117,585,2702,648,2088,747,2835,555,2215,713,2928,361,2400,722,3122,394,2294,795,3089,140,2566,777,3343,290,2419,774,3193,298,2455,730,3185
E92000001,England,E12000002,North West,340,E08000011,Knowsley,315,1282,343,1625,286,1294,360,1654,283,1332,325,1657,202,1535,203,1738,148,1460,332,1792,203,1461,276,1737,224,1488,228,1716,189,1511,240,1751,543,1170,227,1397,611,1208,121,1329,482,1252,206,1458,404,1348,188,1536,269,1501,170,1671,239,1486,215,1701,109,1570,261,1831,224,1477,239,1716,211,1480,249,1729
E92000001,England,E12000002,North West,341,E08000012,Liverpool,945,3611,1011,4622,964,3614,989,4603,1030,3670,867,4537,741,4004,822,4826,579,4122,866,4988,764,3935,868,4803,824,4015,728,4743,727,4118,722,4840,1728,3144,695,3839,1984,3226,357,3583,1548,3483,536,4019,1390,3679,498,4177,1005,4022,540,4562,1018,3970,579,4549,553,4577,437,5014,832,4139,596,4735,864,4190,513,4703
E92000001,England,E12000002,North West,342,E08000013,St. Helens,383,1341,439,1780,363,1364,436,1800,384,1417,362,1779,285,1550,328,1878,277,1547,339,1886,300,1481,382,1863,353,1464,346,1810,306,1512,345,1857,572,1240,351,1591,654,1289,220,1509,512,1346,305,1651,451,1439,273,1712,382,1541,240,1781,367,1527,269,1796,238,1707,218,1925,356,1508,299,1807,357,1546,260,1806
E92000001,England,E12000002,North West,343,E08000014,Sefton,426,1973,608,2581,404,1991,612,2603,414,2079,514,2593,306,2237,464,2701,212,2225,570,2795,274,2242,491,2733,334,2243,430,2673,283,2296,428,2724,709,1853,445,2298,790,1938,279,2217,632,1998,377,2375,528,2139,340,2479,377,2334,296,2630,363,2292,352,2644,176,2528,303,2831,317,2330,360,2690,327,2378,302,2680
E92000001,England,E12000002,North West,344,E08000015,Wirral,698,2497,751,3248,660,2558,728,3286,652,2759,535,3294,587,2981,378,3359,423,3126,397,3523,524,2890,532,3422,579,2888,479,3367,505,2964,477,3441,960,2385,601,2986,1119,2596,231,2827,873,2636,437,3073,786,2795,365,3160,598,3000,348,3348,601,2925,420,3345,368,3262,316,3578,560,3012,374,3386,565,3041,340,3381
E92000001,England,E12000002,North West,350,E08000001,Bolton,846,2479,833,3312,870,2445,843,3288,894,2555,709,3264,594,2861,703,3564,594,2790,774,3564,675,2738,745,3483,714,2773,671,3444,664,2857,637,3494,1176,2270,712,2982,1307,2322,529,2851,1114,2416,628,3044,1044,2517,597,3114,905,2721,532,3253,936,2670,552,3222,560,2956,642,3598,730,2888,540,3428,797,2845,516,3361
E92000001,England,E12000002,North West,351,E08000002,Bury,312,1592,577,2169,328,1592,561,2153,344,1624,513,2137,250,1723,508,2231,198,1637,646,2283,269,1782,430,2212,291,1803,387,2190,242,1867,372,2239,608,1452,421,1873,694,1514,273,1787,582,1548,351,1899,484,1653,344,1997,355,1751,375,2126,374,1701,406,2107,125,1497,859,2356,237,1809,435,2244,247,1787,447,2234
E92000001,England,E12000002,North West,352,E08000003,Manchester,1473,4486,1240,5726,1481,4444,1274,5718,1549,4580,1070,5650,1112,5141,946,6087,1090,5109,1000,6109,1212,5010,977,5987,1198,5132,869,6001,1082,5231,886,6117,2123,3946,1130,5076,2267,4226,706,4932,1898,4394,907,5301,1856,4530,813,5343,1540,4904,755,5659,1549,4875,775,5650,912,5586,701,6287,1283,5184,732,5916,1330,5203,666,5869
